"İsim","Son"," Yüksek"," Düşük","Fark","Fark %","Hac.","Zaman"
"Inveo Yatırım","11,100","11,780","10,610","0,390","3,64%","48,56M","22/10"
"Gedik Yatırım","7,380","7,530","7,270","0,100","1,37%","25,94M","22/10"
"Gentaş","8,860","9,160","8,730","0,120","1,37%","9,91M","22/10"
"Gersan","19,360","19,770","19,090","-0,150","-0,77%","5,93M","22/10"
"Global Menkul Değerler","13,870","13,980","12,840","0,850","6,53%","1,23M","22/10"
"Güler Yatırım","4,320","4,390","4,210","0,070","1,65%","10,79M","22/10"
"Global Yatırım","10,860","11,180","10,320","0,480","4,62%","34,96M","22/10"
"Göltaş Çimento","322,25","325,00","320,50","1,25","0,39%","107,61K","22/10"
"Goodyear Lastikleri","17,28","17,46","17,08","0,17","0,99%","1,39M","22/10"
"Gözde Girişim","20,900","21,060","20,620","0,420","2,05%","2,46M","22/10"
"Garanti YO","15,000","15,000","13,710","1,360","9,97%","1,79M","22/10"
"GSD Marin","9,820","10,150","9,780","-0,240","-2,39%","3,15M","22/10"
"GSD Holding","4,580","4,840","4,550","-0,100","-2,14%","25,73M","22/10"
"GS Sportif","1,54","1,56","1,52","0,02","1,32%","790,65M","22/10"
"Gübretaş","283,25","290,50","278,25","5,25","1,89%","2,13M","22/10"
"Türkiye Sigorta","11,220","11,390","10,840","0,500","4,66%","157,89M","22/10"
"Türkiye Halk Bankası","26,42","26,66","26,04","0,22","0,84%","49,96M","22/10"
"Hateks","15,250","15,880","14,580","0,610","4,17%","3,93M","22/10"
"Hektaş Ticaret","3,330","3,370","3,300","0,000","0,00%","78,04M","22/10"
"Hürriyet Gazete","6,530","6,700","6,460","0,070","1,08%","5,25M","22/10"
"İdealist GYO","3,540","3,630","3,510","-0,050","-1,39%","1,35M","22/10"
"İhlas Ev Aletleri İmalat","2,470","2,630","2,450","-0,080","-3,14%","2,21M","22/10"
"İhlas Gazetecilik A.Ş","1,730","1,780","1,730","-0,040","-2,26%","22,84M","22/10"
"İhlas Holding","3,110","3,340","3,110","-0,170","-5,18%","182,68M","22/10"
"İhlas Gayrımenkul","2,750","2,860","2,740","-0,070","-2,48%","36,84M","22/10"
"İhlas Yayın","2,350","2,420","2,350","0,000","0,00%","10,33M","22/10"
"İndeks Bilgisayar Sistemleri","8,010","8,090","7,900","0,100","1,26%","5,92M","22/10"
"İnfo Yatırım A.Ş.","4,590","4,910","4,430","0,120","2,68%","249,68M","22/10"
"İntema","271,25","288,50","271,25","-11,50","-4,07%","222,57K","22/10"
"İpek Doğal Enerji Kaynakları","67,000","70,100","66,500","-1,650","-2,40%","2,22M","22/10"
"Türkiye İş Bankası A","4.950.000","4.950.000","4.950.000","0","0,00%","0","26/09"
"Türkiye İş Bankası B","585.100,00","619.997,50","585.100,00","-63.900,00","-9,85%","3","22/10"
"Türkiye İş Bankası","12,060","12,310","12,040","0,000","0,00%","526,22M","22/10"
"İş Finansal Kiralama","17,780","18,020","17,670","0,100","0,57%","2,59M","22/10"
"İş Girişim","74,650","77,000","72,500","1,850","2,54%","2,62M","22/10"
"İş GYO","19,000","19,210","18,850","0,110","0,58%","2,18M","22/10"
"İş Yatırım Menkul Değerler","42,400","43,040","40,880","1,700","4,18%","7,04M","22/10"
"İş Yatırım Ortaklığı","8,240","8,620","8,150","-0,020","-0,24%","1,84M","22/10"
"Loras Holding AS","5,640","5,780","5,610","-0,030","-0,53%","29,19M","22/10"
"İzmir Demir Çelik","6,010","6,110","5,940","0,010","0,17%","7,58M","22/10"
"Kaplamin Ambalaj","500,000","531,000","500,000","-24,500","-4,67%","368,05K","22/10"
"Karel","9,630","9,700","9,200","0,440","4,79%","15,58M","22/10"
"Karsan Otomotiv","9,700","9,980","9,690","-0,170","-1,72%","10,84M","22/10"
"Kartonsan San. Ve Tic. A.Ş.","79,80","80,40","79,10","0,20","0,25%","183,3K","22/10"
"Katmerciler","2,790","2,870","2,740","0,040","1,45%","188,06M","22/10"
"Koç Holding","160,40","162,50","157,60","3,00","1,91%","30,48M","22/10"
"Kent Gıda Mad.","747,50","747,50","747,00","0,50","0,07%","2,41K","22/10"
"Besler Gida ve Kimya Sanayi ve Ticaret AS","13,09","13,34","13,06","-0,03","-0,23%","3,97M","22/10"
"Doğanlar Mobilya Grubu","5,890","6,060","5,870","-0,130","-2,16%","3,72M","22/10"
"Kiler GYO","6,440","6,580","6,390","-0,030","-0,46%","13,21M","22/10"
"Klimasan Klima San.","31,040","32,580","30,920","-0,980","-3,06%","818,32K","22/10"
"Türkiye Kalkınma ve Yatırım","13,470","13,470","13,460","0,570","4,42%","292,05K","22/10"
"Konfrut","12,97","13,57","12,88","-0,53","-3,93%","2,13M","22/10"
"Konya Çimento","4.870,00","4.960,00","4.865,00","0,00","0,00%","8,67K","22/10"
"Kordsa Teknik","54,65","55,50","54,30","-0,20","-0,36%","599,2K","22/10"
"Koza Anadolu","83,250","85,900","82,100","-1,450","-1,71%","4,84M","22/10"
"Koza Altın İşletmeleri","23,76","24,54","23,72","-0,60","-2,46%","57,85M","22/10"
"Kardemir A","27,940","29,500","27,820","-0,280","-0,99%","5,63M","22/10"
"Kardemir B","25,060","25,260","24,600","0,360","1,46%","984,69K","22/10"
"Kardemir Demir Çelik","26,400","26,600","25,580","0,600","2,33%","55,59M","22/10"
"Kron Tel. Hiz. A.Ş.","16,130","16,660","15,320","0,770","5,01%","5,45M","22/10"
"Kristal Kola","11,260","11,490","10,760","0,450","4,16%","11,94M","22/10"
"Karsu Tekstil San.Ve Tic. A.Ş.","29,480","30,320","29,280","0,020","0,07%","709,36K","22/10"
"Kütahya Porselen San. A.Ş.","103,200","106,700","103,200","-1,800","-1,71%","331,5K","22/10"
"Link Bilgisayar","323,25","332,50","323,00","-5,75","-1,75%","380,61K","22/10"
"Lokman Hekim","16,100","16,150","15,810","0,070","0,44%","1,05M","22/10"
"Logo Yaz. San. Ve Tic. A.Ş.","147,100","149,900","145,300","1,700","1,17%","562,18K","22/10"
"Lüks Kadife Tic. ve San.","114,000","120,500","111,000","-1,100","-0,96%","478,05K","22/10"
"Marmaris Altınyunus","1.010,00","1.026,00","1.010,00","2,00","0,20%","16,58K","22/10"
"MTE","14,420","14,780","14,240","-0,020","-0,14%","4,66M","22/10"
"Martı Otel İşletmeleri A.Ş.","3,180","3,210","3,110","0,060","1,92%","47,09M","22/10"
"Mepet Metro","15,890","16,310","15,510","-0,210","-1,30%","524,79K","22/10"
"Merko Gıda San. Ve Tic. A.Ş.","13,620","13,880","13,580","0,000","0,00%","2,68M","22/10"
"Metro Tic. Ve Mali Yat. A.Ş.","4,950","5,140","4,920","-0,130","-2,56%","12,62M","22/10"
"Metemtur Yatırım","60,100","62,050","58,350","1,500","2,56%","5,26M","22/10"
"Migros","448,50","453,50","432,00","16,50","3,82%","2,85M","22/10"
"Lydia Holding AS","123,400","128,300","120,000","3,400","2,83%","1,05M","22/10"
"Menderes Tekstil","13,440","13,730","13,440","-0,050","-0,37%","2,72M","22/10"
"Oyak Çimento","21,140","21,420","20,980","0,240","1,15%","21,9M","22/10"
"Martı GYO","2,940","3,050","2,770","0,160","5,76%","125,56M","22/10"
"Marshall Boya Ve Vernik San.","1.720,00","1.772,00","1.699,00","19,00","1,12%","39,7K","22/10"
"Işıklar Enerji","30,400","31,920","29,580","1,320","4,54%","60,28M","22/10"
"Mazhar Zorlu","6,490","6,530","6,300","0,010","0,15%","416,42K","22/10"
"Netaş Telekom","67,25","69,40","66,70","-0,10","-0,15%","745,27K","22/10"
"Net Holding A.Ş.","45,640","46,180","45,280","-0,280","-0,61%","1,37M","22/10"
"Nurol GYO","9,260","9,520","9,120","0,150","1,65%","3,05M","22/10"
"Nuh Çimento","239,50","245,70","239,50","-6,20","-2,52%","97,02K","22/10"
"Otokar","432,00","452,00","431,25","-10,50","-2,37%","649,28K","22/10"
"OYAK YO","36,180","36,300","35,000","0,380","1,06%","112,15K","22/10"
"Özderici GYO","2,960","3,050","2,920","0,030","1,02%","13,64M","22/10"
"Parsan Makina Parçaları Sanayii","89,850","92,250","89,850","-0,050","-0,06%","186,64K","22/10"
"Penguen Gıda San. A.Ş.","8,560","8,640","8,540","0,020","0,23%","2,55M","22/10"
"Petkim","16,790","17,110","16,790","-0,020","-0,12%","103,93M","22/10"
"Pınar Et Ve Un San. A.Ş.","12,44","12,64","12,35","0,03","0,24%","1,2M","22/10"
"Pınar Su San. Ve Tic. A.Ş.","13,930","14,610","13,290","0,640","4,82%","42,55M","22/10"
"Plastikkart","78,000","80,900","78,000","-2,000","-2,50%","377,04K","22/10"
"Petrokent Turizm A.Ş.","211,60","213,10","209,90","1,80","0,86%","85,72K","22/10"
"Pınar Süt Mamulleri","12,40","12,83","12,30","0,06","0,49%","2,07M","22/10"
"Türk Prysmian","31,680","32,160","30,800","0,500","1,60%","414,18K","22/10"
"Park Elektrik","17,230","17,650","17,180","-0,110","-0,63%","1,59M","22/10"
"Ray Sigorta A.Ş.","239,500","245,600","239,000","-2,300","-0,95%","340,38K","22/10"
"Icu Girisim Sermayesi Yatirim Ortakligi AS","3,330","3,330","3,110","0,300","9,90%","33,53M","22/10"
"Reysaş GYO","20,100","20,720","20,100","-0,360","-1,76%","1,63M","22/10"
"Reysaş","15,320","15,390","15,020","0,320","2,13%","6,07M","22/10"
"Hacı Ömer Sabancı Holding","77,45","79,30","77,45","0,00","0,00%","37,87M","22/10"
"Saray Matbaacılık","6,110","6,290","6,100","-0,100","-1,61%","1,19M","22/10"
"Sanko Pazarlama","22,040","22,400","22,020","0,060","0,27%","261,22K","22/10"
"Sarkuysan Elektrolit Bakır Sanayi","14,310","14,700","14,310","-0,110","-0,76%","949,29K","22/10"
"SASA Polyester","3,010","3,060","3,000","0,000","0,00%","934,82M","22/10"
"Şeker Leasing","8,340","8,400","7,850","0,400","5,04%","867,08K","22/10"
"Selçuk Ecza Deposu","81,350","83,450","81,350","-0,500","-0,61%","779,09K","22/10"
"Selçuk Gıda","94,300","99,200","93,300","-5,600","-5,61%","852,64K","22/10"
"Kuvva Gıda Ticaret ve San.","130,300","132,000","130,300","0,000","0,00%","185,26K","22/10"
"Türkiye İş Bankası","4.000.000","4.000.000","4.000.000","100.000","2,56%","1","21/10"
"Silverline Endüstri","2,870","2,960","2,830","-0,050","-1,71%","4,31M","22/10"
"Şişecam","34,100","34,760","33,560","0,580","1,73%","57,94M","22/10"
"Şekerbank T.A.Ş.","7,520","7,600","7,140","0,390","5,47%","59,03M","22/10"
"Söktaş Pamuk Ve Tarım","4,680","4,930","4,600","0,010","0,21%","7,68M","22/10"
"Sinpaş GYO","4,830","4,960","4,810","-0,030","-0,62%","17,25M","22/10"
"Sönmez Pamuklu San. A.Ş.","23,100","23,260","23,000","-0,160","-0,69%","64,77K","22/10"
"Sönmez Filament","129,300","130,800","127,600","-0,400","-0,31%","20,9K","22/10"
"TAV Havalimanları","243,00","250,25","234,60","7,00","2,97%","3,36M","22/10"
"Türk Tuborg","184,300","187,800","183,200","0,200","0,11%","289,44K","22/10"
"Turkcell İletişim Hizmetleri","97,60","99,40","96,80","0,65","0,67%","18,97M","22/10"
"ICBC Turkey","14,770","14,920","14,550","0,200","1,37%","3,57M","22/10"
"Tek-Art İnşaat","23,660","25,200","21,180","0,140","0,60%","77,61M","22/10"
"THY","288,00","296,00","287,00","-6,50","-2,21%","42,48M","22/10"
"Mondi Turkey","7,610","7,870","7,500","0,090","1,20%","7,64M","22/10"
"Tekfen Holding","79,30","80,30","78,00","1,20","1,54%","3,22M","22/10"
"Tofaş","260,50","263,50","255,25","5,50","2,16%","4,37M","22/10"
"Turcas Petrol A.Ş.","37,440","38,000","36,200","1,240","3,43%","1,12M","22/10"
