"İsim","Son"," Yüksek"," Düşük","Fark","Fark %","Hac.","Zaman"
"Armada Gida Ticaret Sanayi Anonim","37,04","37,82","36,72","0,04","0,11%","2,88M","22/10"
"Egeyapi Avrupa Gayrimenkul Yatirim Ortakligi AS","25,04","25,08","24,32","0,72","2,96%","698,71K","22/10"
"Gulermak Agir Sanayi Insaat ve Taahhut AS","184,50","187,60","184,00","0,00","0,00%","1,6M","22/10"
"Akfen Insaat Turizm ve Ticaret AS","24,38","24,38","22,06","2,20","9,92%","12,45M","22/10"
"Mopas Marketcilik","34,78","35,88","34,78","-0,80","-2,25%","4,77M","22/10"
"Destek Finans Faktoring","548,00","563,00","536,50","10,50","1,95%","2,3M","22/10"
"Seranit Granit Seramik Sanayi ve Ticaret AS","10,00","10,13","9,87","0,00","0,00%","6,39M","22/10"
"Birleşim Grup Enerji A.Ş","10,25","10,39","10,25","-0,05","-0,49%","7,24M","22/10"
"Visne Madencilik Uretim","128,20","132,80","127,10","1,40","1,10%","5,56M","22/10"
"Enda Enerji Holding As","15,79","16,06","15,61","0,19","1,22%","2,13M","22/10"
"Kalyon Gunes Teknolojileri Uretim","60,30","61,15","59,55","-0,30","-0,50%","1,28M","22/10"
"Balsu Gida Sanayi ve Ticaret AS","20,52","20,96","20,02","0,32","1,58%","3,57M","22/10"
"Bulls Girisim Sermayesi Yatirim","34,00","34,28","32,90","0,68","2,04%","6,5M","22/10"
"A1 Yenilenebilir Enerji Uretim AS","28,00","28,48","27,76","0,32","1,16%","1,23M","22/10"
"Tera Yatirim Teknoloji Holding AS","38,72","38,72","36,10","3,52","10,00%","118,26M","22/10"
"Emlak Konut Damla Kent GMS","5,99","6,03","5,99","-0,02","-0,33%","12,08M","22/10"
"Hedef Portfoy Yonetimi AS","234,95","234,95","234,95","21,35","10,00%","101","22/10"
"Ft Gayrimenkul ve Girisim","1.745,00","1.745,00","1.602,00","-35,00","-1,97%","415","22/10"
"Dof Robotik Sanayi AS","98,50","112,00","94,00","-5,90","-5,65%","8,79M","22/10"
"Marmara Holding AS","3,62","3,85","3,26","0,00","0,00%","130,97M","22/10"
"Hedef Portfoy Yonetimi AS","2,13","2,13","2,13","0,19","9,79%","10","22/10"
